id,sql_prompt,sql_context,sql,korean_text
5107,What is the average income of farmers in each district in India?,"CREATE TABLE farmers_india (id INT, name VARCHAR(255), district_id INT, age INT, income INT); INSERT INTO farmers_india (id, name, district_id, age, income) VALUES (1, 'Farmer A', 1, 45, 50000); CREATE TABLE districts_india (id INT, name VARCHAR(255), state VARCHAR(255)); INSERT INTO districts_india (id, name, state) VALUES (1, 'District A', 'Maharashtra');","SELECT d.name, AVG(f.income) FROM farmers_india f JOIN districts_india d ON f.district_id = d.id GROUP BY d.name;",인도 각 지구의 농민 평균 소득은 얼마입니까?
5108,What is the average sea surface temperature in the Pacific Ocean per year?,"CREATE TABLE Ocean(id INT, region VARCHAR(20), temperature DECIMAL(5,2)); INSERT INTO Ocean(id, region, temperature) VALUES (1, 'Pacific', 20.5), (2, 'Atlantic', 18.3), (3, 'Indian', 23.2);","SELECT AVG(temperature) FROM (SELECT temperature FROM Ocean WHERE region = 'Pacific' GROUP BY temperature, YEAR(STR_TO_DATE(region, '%Y'))) AS PacificAverage;",태평양 해양의 연간 평균 해수면 온도는 얼마인가요?
5109,Update the end date of carbon offset initiative 'Initiative 1' in Australia to '2025-12-31'.,"CREATE TABLE carbon_offsets (initiative_id INT, initiative_name VARCHAR(255), country VARCHAR(255), start_date DATE, end_date DATE);",UPDATE carbon_offsets SET end_date = '2025-12-31' WHERE initiative_name = 'Initiative 1' AND country = 'Australia';,'이니셔티브 1'의 종료 날짜를 호주에서 '2025-12-31'로 업데이트합니다.
5110,Which regions have the highest and lowest sustainability metrics for products?,"CREATE TABLE sustainability_metrics (product_id INT, carbon_footprint INT, water_usage INT, waste_generation INT, region VARCHAR(50)); INSERT INTO sustainability_metrics (product_id, carbon_footprint, water_usage, waste_generation, region) VALUES (1, 10, 50, 20, 'Northeast'), (2, 15, 60, 30, 'Southwest'), (3, 8, 40, 15, 'Midwest'); CREATE TABLE products (product_id INT, product_name VARCHAR(50)); INSERT INTO products (product_id, product_name) VALUES (1, 'Lipstick'), (2, 'Eyeshadow'), (3, 'Blush');","SELECT region, MAX(sustainability_metrics.carbon_footprint) as max_carbon_footprint, MAX(sustainability_metrics.water_usage) as max_water_usage, MAX(sustainability_metrics.waste_generation) as max_waste_generation FROM sustainability_metrics JOIN products ON sustainability_metrics.product_id = products.product_id GROUP BY region;",어떤 지역이 제품의 지속 가능성 지표가 가장 높고 가장 낮습니까?
5111,Remove the 'vehicle_safety_testing' table and its records,"CREATE TABLE vehicle_safety_testing (id INT PRIMARY KEY, vehicle_model VARCHAR(255), test_score FLOAT);",DROP TABLE vehicle_safety_testing;,'vehicle_safety_testing' 테이블과 그 기록을 제거하십시오.
5112,Show the conservation status of marine mammals and birds by year.,"CREATE TABLE mammals (id INT, name VARCHAR(255), conservation_status VARCHAR(255), year INT); CREATE TABLE birds (id INT, name VARCHAR(255), conservation_status VARCHAR(255), year INT); CREATE VIEW combined AS SELECT 'Mammals' AS animal_group, * FROM mammals UNION ALL SELECT 'Birds', * FROM birds;","SELECT animal_group, conservation_status, year, COUNT(*) FROM combined GROUP BY animal_group, conservation_status, year;",해양 포유류와 조류의 연도별 보호 상태를 보여주세요.
5113,What are the names and types of military bases located in 'California'?,"CREATE TABLE Armed_Forces (base_id INT, base_name VARCHAR(50), base_location VARCHAR(50), base_type VARCHAR(50)); INSERT INTO Armed_Forces (base_id, base_name, base_location, base_type) VALUES (1, 'Fort Bragg', 'North Carolina', 'Army'); INSERT INTO Armed_Forces (base_id, base_name, base_location, base_type) VALUES (2, 'Camp Pendleton', 'California', 'Marines');","SELECT base_name, base_type FROM Armed_Forces WHERE base_location = 'California';",'캘리포니아'에 위치한 군사 기지의 이름과 유형은 무엇인가요?
5114,What is the total value of artworks for each artist in the 'artists_valuation' table?,"CREATE TABLE artist (id INT, name VARCHAR(50)); INSERT INTO artist (id, name) VALUES (1, 'Picasso'), (2, 'Warhol'), (3, 'Basquiat'); CREATE TABLE artists_valuation (artist_id INT, valuation INT); INSERT INTO artists_valuation (artist_id, valuation) VALUES (1, 10000000), (1, 12000000), (2, 8000000), (2, 9000000), (3, 11000000);","SELECT a.name, SUM(av.valuation) AS total_valuation FROM artist a JOIN artists_valuation av ON a.id = av.artist_id GROUP BY a.id, a.name;",'artists_valuation' 테이블에 있는 각 아티스트의 작품 총 가치는 얼마인가요?
5115,List startups that received funding for biosensor development,"CREATE TABLE startups (id INT, name VARCHAR(50), domain VARCHAR(50), location VARCHAR(50)); INSERT INTO startups (id, name, domain, location) VALUES (1, 'SensBiotech', 'Biosensors', 'CA'); INSERT INTO startups (id, name, domain, location) VALUES (2, 'BioSignal', 'Bioinformatics', 'NY'); CREATE TABLE funding (id INT, startup_id INT, amount DECIMAL(10, 2), purpose VARCHAR(50)); INSERT INTO funding (id, startup_id, amount, purpose) VALUES (1, 1, 50000.00, 'Biosensor Development'); INSERT INTO funding (id, startup_id, amount, purpose) VALUES (2, 2, 30000.00, 'Data Analysis');",SELECT s.name FROM startups s JOIN funding f ON s.id = f.startup_id WHERE s.domain = 'Biosensors' AND f.purpose = 'Biosensor Development';,바이오센서 개발을 위한 자금을 받은 스타트업 목록을 나열하세요.
5116,What is the total amount of humanitarian assistance provided by non-governmental organizations (NGOs) to countries in Africa in the last 5 years?,"CREATE TABLE HumanitarianAssistance (Country VARCHAR(50), Organization VARCHAR(50), Amount INT, Year INT); INSERT INTO HumanitarianAssistance (Country, Organization, Amount, Year) VALUES ('Kenya', 'Doctors Without Borders', 2000000, 2018), ('Nigeria', 'International Rescue Committee', 3000000, 2019), ('South Africa', 'Oxfam', 1500000, 2020), ('Ethiopia', 'Save the Children', 2500000, 2017), ('Sudan', 'Care International', 1800000, 2016);","SELECT SUM(Amount) AS TotalAssistance, Country FROM HumanitarianAssistance WHERE Organization NOT IN ('Government', 'Military') AND Year BETWEEN 2016 AND 2020 GROUP BY Country;",최근 5년 동안 아프리카 국가들에 대한 비정부기구(NGO)의 인도적 지원 총액은 얼마인가요?
5117,What is the total number of autonomous driving research papers published by country in the past year?,"CREATE TABLE ResearchPapers (ID INT, Title VARCHAR(100), PublishedDate DATE, Author VARCHAR(50), Country VARCHAR(50)); INSERT INTO ResearchPapers (ID, Title, PublishedDate, Author, Country) VALUES (1, 'AD Research 1', '2022-01-15', 'A. Smith', 'USA'), (2, 'AD Research 2', '2022-03-20', 'B. Johnson', 'Canada'), (3, 'AD Research 3', '2021-12-12', 'C. Lee', 'South Korea'), (4, 'AD Research 4', '2022-05-08', 'D. Patel', 'India'), (5, 'AD Research 5', '2021-11-01', 'E. Chen', 'China');","SELECT Country, COUNT(*) as Total_Papers FROM ResearchPapers WHERE PublishedDate >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR) AND Author LIKE '%autonomous%' GROUP BY Country;",지난 1년 동안 국가별로 발표된 자율주행 연구 논문의 총 수는 얼마인가요?
5118,"What are the unique combinations of security incident types and their corresponding statuses in the incident_responses table, excluding any records with 'In Progress' status?","CREATE TABLE incident_responses (incident VARCHAR(50), status VARCHAR(15)); INSERT INTO incident_responses (incident, status) VALUES ('Incident 1', 'Resolved'), ('Incident 2', 'In Progress'), ('Incident 3', 'Resolved'), ('Incident 4', 'In Progress'), ('Incident 5', 'Assessed');","SELECT incident, status FROM incident_responses WHERE status != 'In Progress' GROUP BY incident, status;",incident_responses 테이블에서 'In Progress' 상태를 제외한 보안 사고 유형과 그에 해당하는 상태의 고유 조합은 무엇인가요?
5119,What is the maximum number of genetic research projects in Japan per year?,"CREATE SCHEMA if not exists genetic;CREATE TABLE if not exists genetic.projects (id INT PRIMARY KEY, name VARCHAR(100), start_date DATE);INSERT INTO genetic.projects (id, name, start_date) VALUES (1, 'ProjectX', '2018-01-01'), (2, 'ProjectY', '2020-05-15'), (3, 'ProjectZ', '2017-08-08'), (4, 'ProjectW', '2021-03-03'), (5, 'ProjectV', '2020-09-20'), (6, 'ProjectU', '2019-12-31');","SELECT YEAR(start_date) AS year, MAX(COUNT(*)) AS projects_count FROM genetic.projects GROUP BY year;",일본에서 매년 최대 몇 개의 유전 연구 프로젝트가 있습니까?
5120,How many construction projects were completed each month in 2020 and 2021?,"CREATE TABLE project_timeline (id INT, project VARCHAR(50), start_date DATE, end_date DATE); INSERT INTO project_timeline (id, project, start_date, end_date) VALUES (1, 'Office Building', '2019-12-20', '2021-04-30'), (2, 'Residential Apartments', '2021-03-01', '2022-08-01'), (3, 'School', '2020-06-15', '2021-10-15'), (4, 'Library', '2020-01-01', '2020-06-15'), (5, 'Park', '2021-01-01', '2021-12-31');","SELECT YEAR(start_date) AS year, MONTH(start_date) AS month, COUNT(*) AS projects FROM project_timeline WHERE end_date IS NOT NULL GROUP BY year, month;",2020년과 2021년의 각 월별로 완료된 건설 프로젝트 수는 얼마입니까?
5121,What is the average labor cost per worker per week in the 'LaborStatistics' table?,"CREATE TABLE LaborStatistics (workerID INT, laborDate DATE, hourlyRate DECIMAL(10,2), hoursWorked DECIMAL(10,2));",SELECT AVG(hourlyRate * hoursWorked * 5) AS AverageLaborCost FROM LaborStatistics;,'LaborStatistics' 테이블에서 근로자 한 명당 주당 평균 노동 비용은 얼마인가요?
5122,"List all food justice organizations in Africa, along with the number of projects they have implemented.","CREATE TABLE food_justice_orgs (org_id INT, org_name TEXT, country TEXT, num_projects INT); INSERT INTO food_justice_orgs (org_id, org_name, country, num_projects) VALUES (1, 'Org A', 'Kenya', 10), (2, 'Org B', 'Nigeria', 7), (3, 'Org C', 'South Africa', 15);","SELECT org_name, num_projects FROM food_justice_orgs WHERE country = 'Africa';",아프리카에 있는 모든 식품 정의 조직의 이름과 그들이 진행한 프로젝트 수를 나열하세요.
5123,Retrieve the names and species of all animals that weigh more than 500 kg,"CREATE TABLE animals (id INT, name VARCHAR(20), species VARCHAR(20), weight DECIMAL(5, 2)); INSERT INTO animals (id, name, species, weight) VALUES (1, 'Elephant', 'African', 6000), (2, 'Lion', 'African', 400), (3, 'Hippo', 'African', 3000), (4, 'Tiger', 'Asian', 300), (5, 'Crane', 'African', 100), (6, 'Rhinoceros', 'African', 2000), (7, 'Zebra', 'African', 450), (8, 'Giraffe', 'African', 1200), (9, 'Bear', 'Eurasian', 600), (10, 'Crocodile', 'Nile', 700);","SELECT name, species FROM animals WHERE weight > 500;",500kg 이상인 모든 동물의 이름과 종을 가져옵니다.
5124,Identify hotels with the highest virtual tour engagement in the APAC region in Q1 2022,"CREATE TABLE virtual_tour_stats (hotel_id INT, hotel_name TEXT, region TEXT, q1_2022_views INT); INSERT INTO virtual_tour_stats (hotel_id, hotel_name, region, q1_2022_views) VALUES (10, 'Hotel X', 'APAC', 500), (11, 'Hotel Y', 'APAC', 650);","SELECT hotel_name, q1_2022_views FROM virtual_tour_stats WHERE region = 'APAC' ORDER BY q1_2022_views DESC LIMIT 5;",2022년 1분기에 APAC 지역에서 가장 높은 가상 투어 참여를 보인 호텔을 식별하시오.
5125,"What are the common cybersecurity policies across all departments, according to our Policy Analysis database?","CREATE TABLE PolicyAnalysis (id INT, policy VARCHAR(100), department VARCHAR(50)); INSERT INTO PolicyAnalysis (id, policy, department) VALUES (1, 'Data Access Policy', 'Sales'), (2, 'Password Policy', 'Marketing');",SELECT policy FROM PolicyAnalysis GROUP BY policy HAVING COUNT(DISTINCT department) = (SELECT COUNT(DISTINCT department) FROM PolicyAnalysis);,"우리의 정책 분석 데이터베이스에 따르면, 모든 부서에서 공통적으로 적용되는 사이버 보안 정책은 무엇인가요?"
5126,How many companies were founded by women in the San Francisco Bay Area?,"CREATE TABLE companies (id INT, name TEXT, city TEXT, state TEXT, founder_gender TEXT); INSERT INTO companies (id, name, city, state, founder_gender) VALUES (1, 'Acme Inc', 'San Francisco', 'CA', 'female');",SELECT COUNT(*) FROM companies WHERE city='San Francisco' AND state='CA' AND founder_gender='female';,샌프란시스코 베이 지역에서 여성에 의해 설립된 회사는 몇 개인가요?
5127,What was the total value of socially responsible loans issued to women in H2 2021?,"CREATE TABLE socially_responsible_loans (id INT, value DECIMAL(10, 2), client_gender VARCHAR(10), date DATE);",SELECT SUM(value) FROM socially_responsible_loans WHERE client_gender = 'female' AND date BETWEEN '2021-07-01' AND '2021-12-31';,2021년 하반기에 여성에게 발급된 사회적 책임 대출의 총 가치는 얼마였나요?
5128,"What is the maximum distance of all satellites from the Earth's surface, organized by country of origin?","CREATE TABLE satellites (id INT, name VARCHAR(255), country_of_origin VARCHAR(255), avg_distance FLOAT);","SELECT country_of_origin, MAX(avg_distance) FROM satellites GROUP BY country_of_origin;",모든 위성의 최대 거리를 원산지 국가별로 정리하여 지구 표면으로부터의 최대 거리가 무엇인가요?
5129,What is the total data usage for mobile customers in the city of Toronto for the year 2022?,"CREATE TABLE mobile_usage (subscriber_id INT, data_usage FLOAT, city VARCHAR(20), year INT); INSERT INTO mobile_usage (subscriber_id, data_usage, city, year) VALUES (1, 3.5, 'Toronto', 2022), (2, 4.2, 'New York', 2022), (3, 3.8, 'Toronto', 2022);",SELECT SUM(data_usage) FROM mobile_usage WHERE city = 'Toronto' AND year = 2022;,2022년 토론토에 있는 모바일 고객의 총 데이터 사용량은 얼마인가요?
5130,What is the maximum cargo weight for VesselC?,"CREATE TABLE vessels (id INT, name TEXT, max_cargo_weight INT); INSERT INTO vessels (id, name, max_cargo_weight) VALUES (3, 'VesselC', 50000);",SELECT max_cargo_weight FROM vessels WHERE name = 'VesselC';,VesselC의 최대 화물 중량은 얼마입니까?
5131,What is the minimum cultural competency score by worker?,"CREATE TABLE worker_scores (worker_id INT, score INT); INSERT INTO worker_scores (worker_id, score) VALUES (1, 95), (2, 88), (3, 72);","SELECT worker_id, MIN(score) FROM worker_scores;",각 직원의 최소 문화 역량 점수는 얼마인가요?
5132,What is the total number of security incidents that have occurred in each region in the past year?,"CREATE TABLE incident_region(id INT, region VARCHAR(50), incidents INT, incident_date DATE);","SELECT region, SUM(incidents) as total_incidents FROM incident_region WHERE incident_date > DATE(NOW()) - INTERVAL 365 DATE GROUP BY region;",지난 1년 동안 각 지역에서 발생한 보안 사고의 총 수는 얼마입니까?
5133,Show all records in the defense_diplomacy table where the participant_country is 'China' or 'India',"CREATE TABLE defense_diplomacy (diplomacy_id INT, event_name VARCHAR(50), participant_country VARCHAR(50), event_date DATE, event_description TEXT);","SELECT * FROM defense_diplomacy WHERE participant_country IN ('China', 'India');",'participant_country'가 'China' 또는 'India'인 데이터 방어 외교 테이블의 모든 기록을 보여주세요.
5134,"What was the total number of military personnel in the United States in 2018, 2019, and 2020?","CREATE TABLE us_military_personnel (id INT, year INT, personnel INT); INSERT INTO us_military_personnel (id, year, personnel) VALUES (1, 2018, 2100000), (2, 2019, 2150000), (3, 2020, 2180000);","SELECT SUM(personnel) FROM us_military_personnel WHERE year IN (2018, 2019, 2020);","2018년, 2019년, 2020년의 미국 군인 총 수는 얼마였나요?"
5135,What is the name and age of the youngest inmate in the prison table?,"CREATE TABLE prison (id INT, name TEXT, security_level TEXT, age INT); INSERT INTO prison (id, name, security_level, age) VALUES (1, 'John Doe', 'low_security', 25); INSERT INTO prison (id, name, security_level, age) VALUES (2, 'Jane Smith', 'medium_security', 35);","SELECT name, age FROM prison ORDER BY age LIMIT 1;",감옥 테이블에서 가장 나이가 어린 죄수의 이름과 나이는 무엇인가요?
5136,What is the average hotel star rating for hotels in Japan and South Korea?,"CREATE TABLE hotel_ratings (country VARCHAR(50), stars FLOAT); INSERT INTO hotel_ratings (country, stars) VALUES ('Japan', 4.2), ('South Korea', 4.5);","SELECT AVG(stars) FROM hotel_ratings WHERE country IN ('Japan', 'South Korea');",일본과 한국의 호텔 평균 별점은 얼마인가요?
5137,What is the total word count for articles in each language per week?,"CREATE TABLE Articles (id INT, language TEXT, publish_date DATE, word_count INT); INSERT INTO Articles (id, language, publish_date, word_count) VALUES (1, 'Language 1', '2023-01-01', 500);","SELECT language, DATE_TRUNC('week', publish_date) as week, SUM(word_count) as total_word_count FROM Articles GROUP BY language, week ORDER BY week;",각 언어별로 주간 기사 단어 수의 총합은 얼마입니까?
5138,"What is the average age of patients who received a flu shot in California, grouped by county?","CREATE TABLE vaccinations (patient_id INT, county VARCHAR(20), vaccine VARCHAR(20)); INSERT INTO vaccinations (patient_id, county, vaccine) VALUES (1, 'Los Angeles', 'Flu'), (2, 'San Francisco', 'Flu'), (3, 'San Diego', 'Flu'); CREATE TABLE patients (patient_id INT, age INT); INSERT INTO patients (patient_id, age) VALUES (1, 45), (2, 30), (3, 50);","SELECT v.county, AVG(p.age) as avg_age FROM vaccinations v INNER JOIN patients p ON v.patient_id = p.patient_id WHERE vaccine = 'Flu' AND county = 'California' GROUP BY v.county;","캘리포니아에서 독감 예방접종을 받은 환자들의 평균 나이는 얼마이며, 카운티별로 그룹화했을 때?"
5139,What was the highest horsepower vehicle at the 2021 Geneva Motor Show?,"CREATE TABLE geneva_motor_show (year INT, make VARCHAR(50), model VARCHAR(50), horsepower INT); INSERT INTO geneva_motor_show (year, make, model, horsepower) VALUES (2021, 'Koenigsegg', 'Jesko', 1600), (2021, 'Bugatti', 'Chiron Super Sport', 1578), (2021, 'Rimac', 'Nevera', 1914), (2021, 'Pagani', 'Huayra BC', 800);","SELECT make, model, MAX(horsepower) FROM geneva_motor_show WHERE year = 2021;",2021년 제네바 모터쇼에서 가장 높은 마력을 가진 차량은 무엇입니까?
5140,What is the number of economic diversification initiatives in tourism and their total budget for the last 3 years?,"CREATE TABLE economic_diversification (id INT, initiative_name TEXT, budget INT, category TEXT, start_year INT); INSERT INTO economic_diversification (id, initiative_name, budget, category, start_year) VALUES (1, 'Cultural Festival', 30000, 'Tourism', 2019), (2, 'Eco-Lodge Development', 50000, 'Tourism', 2020), (3, 'Agri-Tourism Program', 40000, 'Tourism', 2021);","SELECT category, start_year, COUNT(*), SUM(budget) FROM economic_diversification WHERE start_year >= 2019 GROUP BY category, start_year;",관광 분야에서의 경제 다각화 이니셔티브 수와 지난 3년간의 총 예산은 얼마인가요?
5141,Which electric vehicle models have a safety rating above 4.5?,"CREATE TABLE VehicleModels (Model VARCHAR(255), Manufacturer VARCHAR(255), SafetyRating FLOAT); INSERT INTO VehicleModels (Model, Manufacturer, SafetyRating) VALUES ('Model S', 'Tesla', 5.1), ('Model 3', 'Tesla', 4.9), ('Prius', 'Toyota', 4.6), ('Civic', 'Honda', 4.4);",SELECT Model FROM VehicleModels WHERE SafetyRating > 4.5;,안전 등급이 4.5 이상인 전기차 모델은 무엇인가요?
5142,"How many athletes have participated in wellbeing programs in each sport in the last year, and which sport had the most participants?","CREATE TABLE wellbeing_programs (athlete_id INT, sport VARCHAR(50), program_date DATE); INSERT INTO wellbeing_programs (athlete_id, sport, program_date) VALUES (1, 'Soccer', '2022-01-01'), (2, 'Basketball', '2022-01-02'), (3, 'Football', '2022-01-03'), (4, 'Soccer', '2022-01-04'), (5, 'Baseball', '2022-01-05');","SELECT sport, COUNT(DISTINCT athlete_id) AS participants FROM wellbeing_programs WHERE program_date >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR) GROUP BY sport ORDER BY participants DESC;","지난 1년 동안 각 스포츠에서 웰빙 프로그램에 참여한 운동선수는 몇 명이며, 가장 많은 참가자를 기록한 스포츠는 무엇인가요?"
5143,What is the total number of space missions led by women?,"CREATE TABLE space_missions (id INT, name VARCHAR(255), leader VARCHAR(255), year INT); INSERT INTO space_missions (id, name, leader, year) VALUES (1, 'Mars Rover', 'Dr. Jessica Watkins', 2022); INSERT INTO space_missions (id, name, leader, year) VALUES (2, 'ISS Expedition', 'Anousheh Ansari', 2023);",SELECT COUNT(*) FROM space_missions WHERE leader IN (SELECT name FROM astronauts WHERE gender = 'Female');,여성이 이끄는 우주 임무의 총 수는 얼마인가요?
5144,What is the average response time for fires in Boston?,"CREATE TABLE boston_emergency_response (id INT, incident_type TEXT, response_time INT); INSERT INTO boston_emergency_response (id, incident_type, response_time) VALUES  (1, 'Fire', 120), (2, 'Medical', 150), (3, 'Police', 180);",SELECT AVG(response_time) FROM boston_emergency_response WHERE incident_type = 'Fire';,보스턴에서 화재에 대한 평균 대응 시간은 얼마인가요?
5145,What is the percentage of products that are made from recycled materials?,"CREATE TABLE products(product_id INT, is_recycled BOOLEAN);",SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM products)) as percentage FROM products WHERE is_recycled = TRUE;,재활용 재료로 만들어진 제품의 비율은 얼마인가요?
5146,List property co-owners in New York City who have not implemented accessibility features.,"CREATE TABLE CoOwners (CoOwnerID int, PropertyID int, City varchar(20)); CREATE TABLE Properties (PropertyID int, Accessibility varchar(5)); INSERT INTO CoOwners (CoOwnerID, PropertyID, City) VALUES (1, 1, 'New York City'); INSERT INTO Properties (PropertyID, Accessibility) VALUES (1, 'No'); INSERT INTO CoOwners (CoOwnerID, PropertyID, City) VALUES (2, 2, 'New York City'); INSERT INTO Properties (PropertyID, Accessibility) VALUES (2, 'Yes');","SELECT CoOwners.CoOwnerID, Properties.City FROM CoOwners INNER JOIN Properties ON CoOwners.PropertyID = Properties.PropertyID WHERE Properties.City = 'New York City' AND Properties.Accessibility = 'No';",뉴욕시에서 접근성 기능을 구현하지 않은 부동산 공동 소유자의 리스트를 보여주세요.
5147,"What is the total revenue generated by brands that have a circular business model, in the year 2020?","CREATE TABLE BrandRevenue (brand VARCHAR(255), revenue DECIMAL(10,2), year INT, circular_model BOOLEAN);",SELECT SUM(revenue) FROM BrandRevenue WHERE circular_model = TRUE AND year = 2020;,2020년에 순환 비즈니스 모델을 가진 브랜드가 생성한 총 수익은 얼마인가요?
5148,Which autonomous vehicles have the highest safety ratings in the 'auto_show' table?,"CREATE TABLE auto_show (id INT, vehicle_name VARCHAR(50), safety_rating INT);","SELECT vehicle_name, safety_rating FROM (SELECT vehicle_name, safety_rating, RANK() OVER (ORDER BY safety_rating DESC) as safety_rank FROM auto_show WHERE vehicle_name LIKE '%Autonomous%') AS auton_ranks WHERE safety_rank = 1;",'autо_show' 테이블에서 가장 높은 안전 등급을 가진 자율주행 차량은 무엇인가요?
5149,What is the average food safety inspection score for restaurants located in 'Westwood'?,"CREATE TABLE Restaurants (RestaurantID int, RestaurantName varchar(255), Region varchar(255)); CREATE TABLE Inspections (InspectionID int, RestaurantID int, InspectionScore int, InspectionDate date);",SELECT AVG(I.InspectionScore) as AvgInspectionScore FROM Restaurants R INNER JOIN Inspections I ON R.RestaurantID = I.RestaurantID WHERE R.Region = 'Westwood';,'웨스트우드' 지역에 있는 음식점들의 평균 식품 안전 점수는 얼마인가요?
5150,How many hospitals are there in each state in the United States?,"CREATE TABLE Hospitals (HospitalID INT, HospitalName VARCHAR(255), State VARCHAR(255)); INSERT INTO Hospitals (HospitalID, HospitalName, State) VALUES (1, 'Alaska General Hospital', 'Alaska'), (2, 'Bama Healthcare', 'Alabama'), (3, 'California Care', 'California'), (4, 'Delaware Hospital', 'Delaware'), (5, 'Florida Medical Center', 'Florida');","SELECT State, COUNT(*) FROM Hospitals GROUP BY State;",미국의 각 주에 몇 개의 병원이 있나요?
